REGION,STORM_NO,NAME,ADVISORY,ADV_DATE,ADV_HOUR,SPEED,PRESSURE,TYPE,LAT,LONG
S,0,IRIS,0,2018-10-03,600,20,0,D,153.6,-12.3
S,0,IRIS,0,2018-10-03,0,25,0,D,153.5,-12.7
S,0,KENI,0,2018-10-03,1800,85,0,H,-176.1,-23.1
S,0,KENI,0,2018-10-03,1200,85,0,H,-178.7,-21
S,0,KENI,0,2018-10-03,600,85,0,H,-179.2,-19.4
S,0,KENI,0,2018-10-03,0,70,0,H,-177,-18.6
S,0,HOLA,0,2018-10-02,1800,55,0,S,173.4,-27.3
S,0,HOLA,0,2018-10-02,1200,55,0,S,172.5,-25.2
S,0,HOLA,0,2018-10-02,600,70,0,H,170.8,-23
S,0,HOLA,0,2018-10-02,0,80,0,H,169.6,-21.2
S,0,GITA,0,2018-10-01,1800,75,0,H,-168.6,-18.8
S,0,GITA,0,2018-10-01,1200,55,0,S,-168.5,-18.1
S,0,GITA,0,2018-10-01,600,50,0,S,-169,-16.9
S,0,GITA,0,2018-10-01,0,50,0,S,-170,-16
S,0,AVA,0,2018-09-30,0,30,0,D,50.1,-33.3
S,0,IRVING,0,2018-09-30,1800,40,0,S,69.1,-33.3
S,0,IRVING,0,2018-09-30,1200,40,0,S,68.2,-30.1
S,0,IRVING,0,2018-09-30,600,45,0,S,68.4,-27.4
S,0,IRVING,0,2018-09-30,0,60,0,S,69.3,-25.4
S,0,JOYCE,0,2018-09-30,1800,35,0,S,122.1,-16.6
S,0,JOYCE,0,2018-09-30,1200,30,0,D,122.5,-16
S,0,JOYCE,0,2018-09-30,600,25,0,D,122.7,-16
S,0,JOYCE,0,2018-09-30,0,30,0,D,123.1,-16.9
W,0,TRAMI,0,2018-09-29,1800,65,0,H,138.9,36.8
W,0,TRAMI,0,2018-09-29,1200,75,0,H,136,34.2
W,0,TRAMI,0,2018-09-29,600,80,0,H,133.4,32.4
W,0,TRAMI,0,2018-09-29,0,90,0,H,131,30.6
W,0,KONG-REY,0,2018-09-29,1800,90,0,H,136.4,15.5
W,0,KONG-REY,0,2018-09-29,1200,70,0,H,137.2,14.9
W,0,KONG-REY,0,2018-09-29,600,65,0,H,137.9,14.4
W,0,KONG-REY,0,2018-09-29,0,60,0,S,138.4,13.8
W,0,TRAMI,0,2018-09-28,1800,95,0,H,129.5,29.2
W,0,TRAMI,0,2018-09-28,1200,90,0,H,128.4,27.9
W,0,TRAMI,0,2018-09-28,600,90,0,H,127.3,26.4
W,0,TRAMI,0,2018-09-28,0,90,0,H,126.8,25.4
W,0,KONG-REY,0,2018-09-28,1800,55,0,S,139.1,13.3
W,0,KONG-REY,0,2018-09-28,1200,35,0,S,140.6,12.9
W,0,KONG-REY,0,2018-09-28,600,35,0,S,142.1,12.7
W,0,KONG-REY,0,2018-09-28,0,35,0,S,144.7,12.4
W,0,TRAMI,0,2018-09-27,1800,90,0,H,126.8,24.6
W,0,TRAMI,0,2018-09-27,1200,90,0,H,127,23.8
W,0,TRAMI,0,2018-09-27,600,90,0,H,127.4,23.1
W,0,TRAMI,0,2018-09-27,0,90,0,H,127.9,22.6
W,0,KONG-REY,0,2018-09-27,1800,35,0,S,146.5,11.2
W,0,KONG-REY,0,2018-09-27,1200,30,0,D,148,9.5
W,0,KONG-REY,0,2018-09-27,600,25,0,D,149.5,8.5
W,0,TRAMI,0,2018-09-26,1800,90,0,H,128.4,22.3
W,0,TRAMI,0,2018-09-26,1200,90,0,H,128.8,22
W,0,TRAMI,0,2018-09-26,600,90,0,H,129.2,21.7
W,0,TRAMI,0,2018-09-26,0,90,0,H,129.1,21.6
W,0,TWENTYNINE,0,2018-09-26,1200,25,0,D,155.5,36.1
W,0,TWENTYNINE,0,2018-09-26,600,25,0,D,152.9,34.7
W,0,TWENTYNINE,0,2018-09-26,0,25,0,D,152.3,33
W,0,TRAMI,0,2018-09-25,1800,90,0,H,129.2,21.4
W,0,TRAMI,0,2018-09-25,1200,90,0,H,129.2,21.3
W,0,TRAMI,0,2018-09-25,600,105,0,H,129.2,21
W,0,TRAMI,0,2018-09-25,0,110,0,H,129,20.7
W,0,TWENTYNINE,0,2018-09-25,1800,30,0,D,151.4,32
W,0,TWENTYNINE,0,2018-09-25,1200,30,0,D,151.2,30.1
W,0,TRAMI,0,2018-09-24,1800,115,0,H,128.9,20.3
W,0,TRAMI,0,2018-09-24,1200,130,0,H,128.9,20
W,0,TRAMI,0,2018-09-24,600,135,0,H,128.9,19.9
W,0,TRAMI,0,2018-09-24,0,140,0,H,128.7,19.5
W,0,TRAMI,0,2018-09-23,1800,140,0,H,129.1,19.6
W,0,TRAMI,0,2018-09-23,1200,130,0,H,129.7,19.3
W,0,TRAMI,0,2018-09-23,600,130,0,H,130.4,18.9
W,0,TRAMI,0,2018-09-23,0,120,0,H,131.1,18.4
W,0,TRAMI,0,2018-09-22,1800,120,0,H,132.1,18
W,0,TRAMI,0,2018-09-22,1200,115,0,H,133.2,17.5
W,0,TRAMI,0,2018-09-22,600,95,0,H,134.3,17.3
W,0,TRAMI,0,2018-09-22,0,70,0,H,135.1,17
W,0,TRAMI,0,2018-09-21,1800,65,0,H,135.9,16.9
W,0,TRAMI,0,2018-09-21,1200,55,0,S,137.5,17
W,0,TRAMI,0,2018-09-21,600,50,0,S,139,16.5
W,0,TRAMI,0,2018-09-21,0,50,0,S,140.4,16.6
I,0,FOUR,0,2018-09-20,0,35,0,S,84,19.4
W,0,TRAMI,0,2018-09-20,1800,45,0,S,141.3,16
W,0,TRAMI,0,2018-09-20,1200,40,0,S,142.5,15.6
W,0,TRAMI,0,2018-09-20,600,35,0,S,143.4,15.1
W,0,TRAMI,0,2018-09-20,0,30,0,D,144,14.6
